KSC33,Kennedy,KSC33,0.4991121,-1.408178,3.0,330.2505,15000
LAJ15,Lajes,LAJ15,0.6767682,-0.4730817,52.0,140.8,10870
LAJ33,Lajes,LAJ33,0.6763652,-0.4726602,52.0,320.8,10870
LNK18,Lincoln,LNK18,0.7131663,-1.688808,360.0,180.3,12401
LNK36,Lincoln,LNK36,0.7125967,-1.688812,360.0,0.3,12401
LRB04,Monrovia,LRB04,0.1086016,-0.1809731,8.0,32.8,9300
LRB22,Monrovia,LRB22,0.1089555,-0.1807437,8.0,212.8,9300
MCF04,Macdill,MCF04,0.4858725,-1.440448,3.0,40.3,10920
MCF22,Macdill,MCF22,0.4862529,-1.440083,3.0,220.3,10920
MCO18R,Orlando,MCO18R,0.4964914,-1.419422,28.0,179.5,11504
MCO36L,Orlando,MCO36L,0.495941,-1.419417,28.0,359.5,12004
MRN02,Moron,MRN02,0.6485549,-0.09814049,84.0,19.8,11729
MRN20,Moron,MRN20,0.6490827,-0.09790206,84.0,199.8,11729
MUO12,Mountain Home,MUO12,0.751486,-2.022672,912.0,135.2,13500
MUO30,Mountain Home,MUO30,0.7510278,-2.02205,912.0,315.2,13500
MWH14L,Grant County,MWH14L,0.8242436,-2.082641,355.0,162.2,13503
MWH32R,Grant County,MWH32R,0.8236513,-2.082361,355.0,342.2,13003
MYR18,Myrtle Beach,MYR18,0.58804,-1.377617,6.0,168.3,9503
MYR36,Myrtle Beach,MYR36,0.5875949,-1.377506,6.0,348.3,9503
NID03,China Lake,NID03,0.6226717,-2.054374,683.0,42.1,9491
NID21,China Lake,NID21,0.6229909,-2.05402,683.0,222.1,9491
NKT05R,Cherry Point,NKT05R,0.6089283,-1.342094,6.0,45.4,7688
NKT14L,Cherry Point,NKT14L,0.6094469,-1.342138,6.0,135.6,8984
NKT23R,Cherry Point,NKT23R,0.6094236,-1.341525,6.0,225.4,7100
NKT32L,Cherry Point,NKT32L,0.6089018,-1.341524,6.0,315.6,7107
NKX06L,Miramar,NKX06L,0.5735952,-2.044882,137.0,75.3,12000
NKX24R,Miramar,NKX24R,0.5737288,-2.044276,137.0,255.3,12000
NOR05,White Sands,NOR05,0.5747873,-1.857858,1191.0,64.4,15000
NOR17,White Sands,NOR17,0.5752659,-1.857333,1191.0,187.2,15000
NOR23,White Sands,NOR23,0.5750977,-1.857088,1191.0,244.4,15000
NOR35,White Sands,NOR35,0.574552,-1.85744,1191.0,7.2,15000
NTU05L,Oceana,NTU05L,0.6425622,-1.327168,6.0,42.0,7501
NTU05R,Oceana,NTU05R,0.6423961,-1.327296,6.0,42.0,11497
NTU14L,Oceana,NTU14L,0.6428693,-1.327065,6.0,134.0,7500
NTU14R,Oceana,NTU14R,0.6428614,-1.327116,6.0,134.0,7999
NTU23L,Oceana,NTU23L,0.6427872,-1.326856,6.0,222.0,11497
NTU23R,Oceana,NTU23R,0.6428111,-1.326888,6.0,222.0,7501
NTU32L,Oceana,NTU32L,0.6425955,-1.326772,6.0,314.0,7999
NTU32R,Oceana,NTU32R,0.6426366,-1.326763,6.0,314.0,7500
NZC18L,Cecil Field,NZC18L,0.5276743,-1.428973,23.0,179.5,12000
NZC36R,Cecil Field,NZC36R,0.5271242,-1.428967,23.0,359.5,12000
OOY18,Dakar,OOY18,0.2575175,-0.305086,22.0,172.6,10647
OOY36,Dakar,OOY36,0.2570505,-0.3050233,22.0,352.6,10647
PBG17,Plattsburgh,PBG17,0.7795672,-1.282413,60.0,157.6,11760
PBG35,Plattsburgh,PBG35,0.7790467,-1.282111,60.0,337.6,11760
PEA18L,Pearce,PEA18L,-0.5526399,2.024825,35.0,174.0,7502
PEA36R,Pearce,PEA36R,-0.5529731,2.024866,35.0,354.0,7502
PMR13,Skid Strip,PMR13,0.4969853,-1.406345,3.0,128.0,9500
PMR31,Skid Strip,PMR31,0.4967205,-1.405959,3.0,308.0,9500
PSM16,Pease,PSM16,0.7520322,-1.236245,27.0,149.2,10015
PSM34,Pease,PSM34,0.7516411,-1.235926,27.0,329.2,10015
PTN14,Tindal,PTN14,-0.2533095,2.310289,133.0,139.0,8503
PTN32,Tindal,PTN32,-0.2535984,2.310549,133.0,319.0,8503
RCA13,Ellsworth,RCA13,0.7706978,-1.799771,985.0,138.2,12997
RCA31,Ellsworth,RCA31,0.7702521,-1.799216,985.0,318.2,12997
ROZ10,Rota,ROZ10,0.6396125,-0.1111435,19.0,96.9,11604
ROZ28,Rota,ROZ28,0.6395457,-0.1104564,19.0,276.9,12104
VBG12,Vandenberg,VBG12,0.6065087,-2.104887,93.0,136.4,15000
VBG30,Vandenberg,VBG30,0.6059893,-2.104285,93.0,316.4,15000
WAK10,Wake Island,WAK10,0.3365856,2.908142,4.0,102.0,9359
WAK28,Wake Island,WAK28,0.3364975,2.908581,4.0,282.0,9359
WAL04,Wallops,WAL04,0.6619466,-1.317213,9.0,31.7,8749
WAL10,Wallops,WAL10,0.6622322,-1.317429,9.0,90.0,7505
WAL22,Wallops,WAL22,0.6623027,-1.316934,9.0,211.7,8749
WAL28,Wallops,WAL28,0.6622322,-1.317005,9.0,270.0,7505
YHZ05,Halifax,YHZ05,0.7831058,-1.108698,138.0,35.0,8800
YHZ14,Halifax,YHZ14,0.7835429,-1.108575,138.0,125.0,7700
YHZ23,Halifax,YHZ23,0.7834506,-1.108358,138.0,215.0,8800
YHZ32,Halifax,YHZ32,0.7833316,-1.10815,138.0,305.0,7700
YJT09,Stephenville,YJT09,0.8471941,-1.022204,15.0,71.0,9500
YJT27,Stephenville,YJT27,0.8473342,-1.021589,15.0,251.0,9500
YNN14,Nassau,YNN14,0.4372413,-1.352206,4.0,135.0,10518
YNN32,Nassau,YNN32,0.4369024,-1.351832,4.0,315.0,10518
YQX03,Gander,YQX03,0.8538527,-0.9523812,136.0,11.0,9700
YQX13,Gander,YQX13,0.8543938,-0.9526987,136.0,108.0,8900
YQX21,Gander,YQX21,0.8542848,-0.9522532,136.0,191.0,9700
YQX31,Gander,YQX31,0.8542622,-0.9520822,136.0,288.0,8900
YYR08,Goose Bay,YYR08,0.9303424,-1.054958,47.0,54.8,10546
YYR16,Goose Bay,YYR16,0.9308372,-1.054764,47.0,132.9,9080
YYR26,Goose Bay,YYR26,0.9306197,-1.0543,47.0,234.8,10546
YYR34,Goose Bay,YYR34,0.9305577,-1.054261,47.0,312.9,9080
YYT11,St Johns,YYT11,0.8311784,-0.9210048,137.0,85.9,8500
YYT29,St Johns,YYT29,0.8312075,-0.920403,137.0,265.9,8500
ZZA12R,Zaragoza,ZZA12R,0.7274554,-0.01888568,258.0,120.0,12197
ZZA30L,Zaragoza,ZZA30L,0.7271637,-0.018209,258.0,300.0,12197
